,name,height,weight,Unnamed: 0,car_model,year_of_manufacture,price,fuel,Unnamed: 0.1
0,,,,0.0,ritz,2014.0,5000.0,Petrol,
1,,,,1.0,sx4,2013.0,7089.55,Diesel,
2,,,,2.0,ciaz,2017.0,10820.9,Petrol,
3,,,,3.0,wagon r,2011.0,4253.73,Petrol,
4,,,,4.0,swift,2014.0,6865.67,Diesel,
5,,,,5.0,vitara brezza,2018.0,13805.97,Diesel,
6,,,,6.0,ciaz,2015.0,10074.63,Petrol,
7,,,,7.0,s cross,2015.0,9701.49,Diesel,
8,,,,8.0,ciaz,2016.0,13059.7,Diesel,
9,,,,9.0,ciaz,2015.0,11119.4,Diesel,
10,,,,10.0,alto 800,2017.0,4253.73,Petrol,
11,,,,11.0,ciaz,2015.0,10223.88,Diesel,
12,,,,12.0,ciaz,2015.0,11194.03,Petrol,
13,,,,13.0,ertiga,2015.0,9104.48,Petrol,
14,,,,14.0,dzire,2009.0,3358.21,Petrol,
15,,,,15.0,ertiga,2016.0,11567.16,Diesel,
16,,,,16.0,ertiga,2015.0,10820.9,Diesel,
17,,,,17.0,ertiga,2016.0,11567.16,Diesel,
18,,,,18.0,wagon r,2015.0,4850.75,CNG,
19,,,,19.0,sx4,2010.0,3955.22,Petrol,
20,,,,20.0,alto k10,2016.0,4253.73,Petrol,
21,,,,21.0,ignis,2017.0,7313.43,Petrol,
22,,,,22.0,sx4,2011.0,6567.16,Petrol,
23,,,,23.0,alto k10,2014.0,3731.34,Petrol,
24,,,,24.0,wagon r,2013.0,4328.36,Petrol,
25,,,,25.0,swift,2011.0,4477.61,Petrol,
26,,,,26.0,swift,2013.0,6194.03,Petrol,
27,,,,27.0,swift,2017.0,8955.22,Petrol,
28,,,,28.0,alto k10,2010.0,2910.45,Petrol,
29,,,,29.0,ciaz,2015.0,11119.4,Diesel,
30,,,,30.0,ritz,2012.0,4626.87,Diesel,
31,,,,31.0,ritz,2011.0,3507.46,Petrol,
32,,,,32.0,swift,2014.0,7388.06,Diesel,
33,,,,33.0,ertiga,2014.0,8955.22,Diesel,
34,,,,34.0,dzire,2014.0,8208.96,Diesel,
35,,,,35.0,sx4,2011.0,4402.99,CNG,
36,,,,36.0,dzire,2015.0,6940.3,Petrol,
37,,,,37.0,800,2003.0,522.39,Petrol,
38,,,,38.0,alto k10,2016.0,4477.61,Petrol,
39,,,,39.0,sx4,2003.0,3358.21,Petrol,
40,,,,40.0,baleno,2016.0,8731.34,Petrol,
41,,,,41.0,alto k10,2014.0,3805.97,Petrol,
42,,,,42.0,sx4,2008.0,2910.45,Petrol,
43,,,,43.0,dzire,2014.0,8208.96,Diesel,
44,,,,44.0,omni,2012.0,1865.67,Petrol,
